name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
CryptoPunks,https://lh3.googleusercontent.com/BdxvLseXcfl57BiuQcQYdJ64v-aI8din7WPk0Pgo3qQFhAUH-B6i-dCqqc_mCkRIzULmwzwecnohLhrcH8A9mpWIZqA7ygc52Sr81hE=s120,ETH,,3427,9999,2.504804560415711,11627.819993999997677747,-0.6249496441520076,502.739999999999952252,-0.3042167084524825,865010.922843307722359896
Bored Ape Yacht Club,https://lh3.googleusercontent.com/Ju9CkWtV-1Okvf45wo8UctR-M9He2PjILP0oOvxE89AyiPPGtrR3gysu1Zgy0hjd2xKIgjJJtWIc0ybj4Vd7wv8t3pxDGHoJBzDB=s120,ETH,95.88,6382,9999,1.4651801384240006,11822.656600000000253203,-0.7023839161030055,1201.450000000000045475,-0.5411205379865824,425366.372401188709773123
Invisible Friends,https://lh3.googleusercontent.com/lW22aEwUE0IqGaYm5HRiMS8DwkDwsdjPpprEqYnBqo2s7gSR-JqcYOjU9LM6p32ujG_YAEd72aDyox-pdCVK10G-u1qZ3zAsn2r9=s120,ETH,7.29,4142,5000,-0.7846079292789179,1477.827399000000468732,0.912162162162162,246.917499999999961346,0,31549.07934224799828371
Azuki,https://lh3.googleusercontent.com/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT=s120,ETH,9.3,5579,10000,-0.2971196388080553,2693.276900000001660374,0.14415213234073287,489.951000000000021828,-0.7466056522626969,128752.157179760615690611
3Landers,https://lh3.googleusercontent.com/jM8itRiSM3hI8RWokMkhR97JdoIzukU3DUEO-9MD3i6r6DnTBW6efbv1617zES0MfoiWzW4f3UaL9lgRr61vf3Cj4DDPIsk_XjNBXQ=s120,ETH,1.878,5431,10000,-0.48928818616876346,1408.294896670655134585,-0.04164880517537371,186.673299999990035758,0,23940.2529340953733481
CLONE X - X TAKASHI MURAKAMI,https://lh3.googleusercontent.com/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg=s120,ETH,11.99,8563,19083,-0.2891836350801381,3712.652231999999457912,0.20768760476812675,416.205500000000029104,-0.664488639217017,141579.991257756511913612
Mutant Ape Yacht Club,https://lh3.googleusercontent.com/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI=s120,ETH,19.38,11850,18007,1.1227070192477089,6819.254355370239863987,-0.22084161504870115,1023.923199999900134571,-0.6066400046111983,260855.300735138094751164
NFT Worlds,https://lh3.googleusercontent.com/DIafQlRW63pQ8UJqmdQBBOHZcubAE9rAkbovVx_WU_-TmIg3hF7z0y60gUGvah85_uYVgBxmhNfWUXwajaUmYZsrCPp8ZdYE0Z-wrt0=s120,ETH,10.6,1291,10000,0.12733091719253284,2217.031641102271805721,-0.020842802415427804,150.799999999999982947,1.841180598309577,38317.675656077975872904
mfers,https://lh3.googleusercontent.com/J2iIgy5_gmA8IS6sXGKGZeFVZwhldQylk7w7fLepTE9S7ICPCn_dlo8kypX8Ju0N6wvLVOKsbP_7bNGd8cpKmWhFQmqMXOC8q2sOdqw=s120,ETH,3.14,5075,10020,-0.041846764524769174,1628.011165067415959129,-0.5749197327501115,192.932058154327876309,2.3781050654679903,26688.85012739390367642
CyberBrokers,https://lh3.googleusercontent.com/Qd1IEPYz_0YlMaclPwb6_9PyP7afZIzH15IdIU2X6t1Wvg81DwpAaWOY0cNmxy173C4yMA7sM3xF9-HJsCSKJdx6KvDR3old3IKuTIc=s120,ETH,2.95,3695,9986,0.39848309233616236,10160.739604594977208762,-0.2470214197671945,207.691061588529464643,0,17426.28300678352752584
tubby cats by tubby collective,https://lh3.googleusercontent.com/XHZY9623keDQqFSDHKqOdcjD99Y7N82K1egYRM2Mm1Z-Jxn5myrkKiC5NBktWKStVtTzDzwELy9dNpzTWJTIkLsdMIxUHI86jduQ=s120,ETH,0.4,9895,20000,-0.2711829568964519,513.461062270229717797,-0.3091542906462748,90.746600000000043451,0,15026.925803069301764481
Meebits,https://lh3.googleusercontent.com/d784iHHbqQFVH1XYD6HoT4u3y_Fsu_9FZUltWjnOzoYv7qqB5dLUqpGyHBd8Gq3h4mykK5Enj8pxqOUorgD2PfIWcVj9ugvu8l0=s120,ETH,4.7,6025,20000,15.531991614609497,10561.211488392478713649,-0.5998318302123994,373.579600000000027649,2.8813388877027672,95707.826359639730071649
The Sandbox,https://lh3.googleusercontent.com/SXH8tW1siikB80rwCRnjm1a5xM_MwTg9Xl9Db6mioIk9HIlDM09pVoSR7GKJgS6ulSUpgW9BDtMk_ePX_NKgO9A=s60,ETH,2.94,20295,167378,-0.05493392419095257,2025.028224581390304593,0.46613127615058886,254.55714499999996292,-0.5039764889134881,155991.902831009996589273
Doodles,https://lh3.googleusercontent.com/7B0qai02OdHA8P_EOVK672qUliyjQdQDGNrACxs7WnTgZAkJa_wWURnIFKeOh5VTf8cfTqW3wQpozGedaC9mteKphEOtztls02RlWQ=s120,ETH,12.8,4062,10000,0.5464500091589852,2726.004599000000780507,0.7133993711478254,753.636999999999829924,-0.46053620797597355,89304.46178397603216581
Tasty Bones XYZ,https://lh3.googleusercontent.com/pFx2k4GbEd30FbIPOGagqG646QGUk-0Ns8n6kSgozxY4aJSI2AYm1a_Acvu0jngeIx7hSeZeZTHLKUiUEt9qXfE-DWRmJyZJQ_AnKA=s120,ETH,0.52,3464,5049,-0.3714254724627202,135.035047800000000962,-0.18239154256113976,13.13209999999999944,0,9976.252962897562611033
RTFKT - MNLTH,https://lh3.googleusercontent.com/gp39NTyxBPazqowYV9XTFxAU4eNk1i7FlmonHW4Zr7eS9UxEvrZ7f04rOLEhDxcuGxsbUx1Rm_N6Ky_Dp4A1ZQYHFAaEWj5YdBF0qg=s120,ETH,4.7999,8910,1,-0.2521847175319348,1297.790199000000484375,0.9634660709000544,198.356999999999999318,-0.01384592267824786,18176.129627698723197682
WonderPals,https://lh3.googleusercontent.com/DA_iUjt7S9PdmAANh0aqMkxYVhvGogTuKbMSzFO3uEnbvRRt5hn1B8DuN50HQpkRtH34QX7EOYYKIayz1q5KgZWfgLedNo7xBQzK=s120,ETH,0.585,6963,10000,-0.8562433833573048,662.387939267700517121,-0.6766125930588258,67.650798989999955779,0,8947.464474578249792103
Karafuru,https://lh3.googleusercontent.com/VMG3VFncJG-pyqsRAwQznZGqYDw4RkPjJnJNJwrDERFhD4pWLh82q66JJ8Qh0vCPoovjoyigJwLqfFpa5tMAVV5ASIiR5nF1XkQFpec=s120,ETH,2.7,3670,5553,-0.26761270414989025,532.223649999999906868,2.5904724640516474,183.526999999999958391,-0.6866739665169554,36549.486076743953162804
Edenhorde,https://lh3.googleusercontent.com/jrJiN_NEI5ySl1EV8V6qjPA4zErIe4lWpsqWb5RoqaNlsx_nm3tKI4HLgDVHjzvHN3PSx0NfYwbO49YVucd1J5W3-dfcN-dqUEFY5A=s120,ETH,0.3777,3413,8680,-0.5899055509779261,118.070214900000053149,0.06760364456845623,6.198400000000000354,0,8417.399564852148614591
Antonym: GENESIS,https://lh3.googleusercontent.com/VvaQMGvYpCRISPBOo4ZgI-9xmZq2XZnRtp3veKYMFinA1jN8Ab0EsVRKWQm0rIy8kN8qdibhDUe7lxVZKuMgg57bzo3mOANKb6b9tQ=s120,ETH,0.599,5321,8888,-0.41563313178428674,2863.777032869041249796,-0.7334791721591822,432.848476582608441277,0,7764.426245945091068279
CatBlox Genesis Collection,https://lh3.googleusercontent.com/ruiSdBeZwFASTXoEuKtOQECfEj23sNlkJT-oHMN907STbDjqT3lvvZFDjCNcy8ynGb9yLDkFip0bf_Ed_8eCRpbsSO_s6dBKNfRcnA=s120,ETH,0.239,5091,9999,-0.7562149157930235,137.113170000000081927,1.418619774595,23.058999999999997499,0,7585.584960293517724494
Starcatchers,https://lh3.googleusercontent.com/uRZrWesOYmPJBCQV-YFcGslv6HncNKMmSkMCtUxGI1uOLVm713TPmN9BIs35-jEg8dXvgUnhxy0Udyj4qwZjNPliNSTP5DtiS7vkXw=s120,ETH,0.2679,5622,10000,-0.5659450929408135,287.773405639927943866,0.11377131090028209,20.050099999999996925,0,7330.182269870809250278
Cool Pets NFT,https://lh3.googleusercontent.com/dNMaqYrBRTBWeTQOJsKg0IedkMSS_SB37x1ivbcydSWur1Pv3_sETgQYQdeCgp8Iv4gTT60xz8pnWkfAJF7HwHibOfB94wT5l2WJ2Q=s120,ETH,1.3199,10201,18663,-0.0630711898873785,666.375146550523595579,0.6102255394796161,94.654693000000008851,-0.4658213568732799,20570.212688673487718916
Worldwide Webb Land,https://lh3.googleusercontent.com/Tc7kJNU7hcpmCCykek6ANVhWervl1zhbNIlM_T3VSR1hsSCrOGG6IiNALSs8v-OgUVJvoKW6tVbJWjnJti_o0ihvUNlxFWfZV9V9=s120,ETH,1.85,4877,9508,-0.5021882460550815,484.830319999999915126,0.2000971430709177,96.236989999999963175,0.8703325481190195,20315.154657733895874117
Cool Cats NFT,https://lh3.googleusercontent.com/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8=s120,ETH,7.99,5329,9941,0.2210657910739134,1246.99610000000097898,-0.4428112143564602,106.099999999999994316,-0.5014945460110997,90882.352692407497670501
