name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
Decentral Games ICE Poker,https://lh3.googleusercontent.com/vqpagZzkUkiTlLR1DHyw58wc6uxfEegI8NbeFo45mubN2O3m8WTGTG59xXPQCflsAXLs_EcmR3tIiic_1Alet6E0z2YcXtIMxWfVWw=s120,ETH,1.86,4129,21758,0.06679714503677103,520.10389899999984209,1.7399682334150848,185.789299999999968804,-0.3593942103081199,8974.006164331181935268
The Martians: Metaverse,https://lh3.googleusercontent.com/IQT-uqtTooKkCKVHI1AKVUczl1LIIT1fR8NZEUh0EzrB-Frs7y-54bZ3SZ0zG8WimxzShQsc2i2QLSuwRokL5IOfu8FpnlzmjPXq3w=s120,ETH,0.899,3125,5000,-0.6309562650066074,79.642999999999986471,0.12611418935196347,9.349000000000000199,9.319441823302629,1416.713040000001228691
FancyBirds,https://lh3.googleusercontent.com/wrElaEBwneqKR669amNlLLxXC7rKuXoc50Et36hnwqYQcs2oa2cBtuKN1ogPnSJN8okccSoeqvpRTvdYwPFwPVyu8-4p33p6RCuwL_g=s120,ETH,0.194,1703,8888,-0.6822076066740108,54.175189000000017359,0.17410293420003412,11.632190000000001362,5.356043572257278,1415.733008866662203218
Crypto Unicorns Market,https://lh3.googleusercontent.com/jLi7QyLxZLXAeAqtKuecs5ebhGpDwWG6iI_EsfeXanpCCjCnDtqW9Db4b2ZAO0poqfIgBuGdYmyJCFL-c9wVJFIjJUZ2Lmna13kTDg=s120,ETH,1.17,537,10000,0.008144924901113553,187.408999999999963393,1.351124321530111,36.38599999999999568,-0.7864949948625023,6985.570255939956041402
ZED RUN Legacy,https://lh3.googleusercontent.com/tgpgbT3OwxX4REASLdyafzCWQ5EhOtgSiIlhI3am3aZ_mYPS0WbM9Z4F6hOhb0D-AKqhHlFg6BNBquchQy-_bwY=s120,ETH,0.0086,42573,217935,-0.6729314340867174,15.944985429999976034,2.840659516439922,4.802014999999999034,-0.7305980924723956,46198.145550509194436017
Crypto Unicorns Land Market,https://lh3.googleusercontent.com/jLi7QyLxZLXAeAqtKuecs5ebhGpDwWG6iI_EsfeXanpCCjCnDtqW9Db4b2ZAO0poqfIgBuGdYmyJCFL-c9wVJFIjJUZ2Lmna13kTDg=s120,ETH,0.094,6940,29998,-0.36825623044937444,87.925564899999770319,0.5962434482411683,20.456977000000001965,-0.6870131446294873,2586.219419335544898786
Space Game - Marines & Aliens,https://lh3.googleusercontent.com/OE7EAlp8t48ctvD-Vwcplc93Xt-JunS55oaWK2rXfs1JBmQJE4xpU2_2xIV4qninTMvru5Bxizl33m7rmjalo9nMAQ9dJxkd7Wn5Jg=s120,ETH,0.0132,756,27959,-0.6584708804104108,13.605820000000013792,-0.5622871994801816,1.178869999999999862,4.011001810903598,609.491359168100416355
Crypto Unicorns Shadowcorns,https://lh3.googleusercontent.com/EorjfSP6_15XdWcMLzJqHTC-y1aadmGeL_jydEtpL4aTj--lUdQ1GWy_bdvb8PN6Dmf46rXOZxgYQkbDVEoNnjHrWKO9HUdc39RdPkA=s120,ETH,0.075,1285,5,-0.4390894699513135,78.884100000000003661,-0.23103547735794644,18.661999999999999034,1.1768116799488524,739.049307600000361163
Phantom Galaxies Origin Collection,https://lh3.googleusercontent.com/NZ0WI9Fxr69mfjNye3t2Ct_Uk-JnPTqWoA7TF4RK18wslgZkR2I1WJ1Uw6PzLK9oj-r02r5r30VR7TVNYqidtg4b75rBqD5p7E1S9g=s120,ETH,0.0065,529042,2,-0.7446966255548922,18.444773479999973631,0.1821282265158619,3.986352000000000562,-0.5430024199567378,1472.940032924561819527
ZED RUN,https://lh3.googleusercontent.com/tgpgbT3OwxX4REASLdyafzCWQ5EhOtgSiIlhI3am3aZ_mYPS0WbM9Z4F6hOhb0D-AKqhHlFg6BNBquchQy-_bwY=s120,ETH,0.005,16482,139764,-0.37926132879344754,89.952919783800055598,0.2741942426165029,17.463753679999996393,0,306.031669527900703542
Chumbi Valley Official,https://lh3.googleusercontent.com/BMA1U68bhqomAbrdKTske865bLFr5NiJpwb8EVlSiHqkOGRZkZWIerLUMemJgqBtIKulbDp2hQ8c321W5sxvs6-KJD-qXia28gn2hQ=s120,ETH,0.646,1880,4096,-0.4888235294117647,21.290500000000001535,0.3182142857142855,3.690999999999999837,-0.8187919160408103,2943.293632781099404383
Ember Sword Land,https://lh3.googleusercontent.com/J7SSCNIDh1ui59aoqyNywPtnUAUB-Q80Cnl1txbxmJOAIKcRJT1bUYidkDPNegOk2W0zyjqVkLbdcI6g6KTYgQCDplCo3DXpDSeaPg=s120,ETH,0.21,5993,39995,-0.6050420492666232,20.564104999000011986,0.5528312437125965,5.806299999999998462,-0.4230719538525157,2790.835652824444423459
Crypto Raiders MOBS,https://lh3.googleusercontent.com/44XZseVPcTMuIseriL_HWueJ1pVaTp7p5JbMlAyQccPRCE3IsbOohEZ9WzKH0zOlmXIUsEH8NIULCA5PunKfNhTAi2yhXyVim745OA=s120,ETH,0.119,1568,12562,-0.2418205453209844,21.055250000000004462,-0.8686335062939913,0.419000000000000039,-0.25063823442248157,917.986784539990821941
Chicken Derby,https://lh3.googleusercontent.com/z0605wLEPoraBKL4y4b3Be_yF9uKA_dO8Z24mNGhpXht_H0quGAFuzsBAOinZc8GQhI2NDQUfcpCfGQagttD-O2FogcKCsAy3pwFcd4=s120,ETH,0.0345,5931,33330,0.0463563967325598,30.638768790000042941,-0.47824699935106346,3.82709999999999928,-0.10641458216826553,3820.901845501901789248
Crypto Raiders Characters,https://lh3.googleusercontent.com/44XZseVPcTMuIseriL_HWueJ1pVaTp7p5JbMlAyQccPRCE3IsbOohEZ9WzKH0zOlmXIUsEH8NIULCA5PunKfNhTAi2yhXyVim745OA=s120,ETH,0.03,3565,59151,-0.33250312288435385,23.339370000000027261,0.7533272837265567,3.477899999999997771,-0.7354811795081405,2095.896782598972549749
The Red Village Champions,https://lh3.googleusercontent.com/TU1DDkliHAwy7v_5W0PRB7qbluGn6yaUr9dcHjbBlIjCV3bVGeYq-_yNWEsL9JrLGHJY30XYOIVfH9YCMSS2jIEBTt9jjnCrhzhTRg4=s120,ETH,0.11,2165,10999,-0.12273410579345086,21.767160000000000508,-0.24594997495448337,5.027900000000000702,-0.7232038604447648,1698.043292381973742522
