name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
Aurory,https://lh3.googleusercontent.com/Qzl6u460tNyzWFrlaLQIa2VMBc1HBX5X7IDfEYBbKV3q1p_BDVkqC-A7-DS5RA-IKagzD0m7J-LDpmr_XnY2ocsTcXGM01DXM7lqUg=s120,SOL,55,3047,10005,5.3412095400340736,3661.706798570130613253614557,1.0898813021506644,874.6685462123170448572120144,0,4386.711543108088084898404181
Grim Syndicate,https://lh3.googleusercontent.com/Ufl2FO0Rb42lXVfcGnD9n8b2rb8kMoJELQtTJxwadm21kfB1IvvfzS0YkfAv2UHib5-Dw7RLSCZghrbkaAaqMZeLi8usDOYuoqFb0A=s120,SOL,11.69,2720,10000,1.3539796814689762,1185.108498099714513294033790,-0.5664845173041895,23.44101148621023957766405893,0,1775.574773523512422419627184
Degenerate Ape Academy,https://lh3.googleusercontent.com/UdurmG-0kGw9AB4E0E9ZosS2g-WTsTdvfyjCJgxPY2oSTTU1JaMFvvkODa0xni1hpX2FKbl1FqA-Ba2zRQ8fEGqugMjATolXKdrq=s120,SOL,70,4187,9994,6.747069943289225,1212.241141600688594453876890,-0.5978835978835979,74.93560324179097854933020595,0,1704.964424800613358658069855
Solana Monkey Business,https://lh3.googleusercontent.com/gRSzhQDZEhYJys7z2tstXwunuijtKBYVuomSHTTQJhUsNnxzhyhySO6qzizWA44xFTO3r2HNyWhYK8KFYd7MNHovXlG6WfJKRb1cFFE=s120,SOL,240,2523,4971,-0.7292087353324641,207.8477193984130261219823963,-1,0.000,0,1535.811322329868023999318888
Space Runners,https://lh3.googleusercontent.com/JhX9z0tHr3P2SCx5UY_To2--PVnsItTQWLYB1bLAIk4P_1TUiH6253hOz8f8NTRf__Sp74h6jdilKRmJW0dQ8aE0VuvaofZT880low=s120,SOL,18.5,5053,9888,-1,0.000,0,0.000,0,1262.174137078064671004590823
Nyan Heroes,https://lh3.googleusercontent.com/ytTTIXSJUyuoy1UM9fPiVm3ORAqnbO17lRJ_KsYeMg8pjtJDk31026BR7hcUWjnbl7JW6nfwLTgn9Mox0hRekY8-DiqyR32N-BdnVw=s120,SOL,10.7,8198,11109,0.838088193857425,511.6695608745315993259780597,-0.9242208960879038,15.68726497785368845111234251,0,1209.350866223963114210338664
Monkey Kingdom,https://lh3.googleusercontent.com/u1RQVEGxmSY2gOkBLVGMFI8DC553hJ9eiyfI-hKaSWJZ-86CZ48DUqSsaS8b-gck4h7iXy-wSGnIfFCUHSQ49jEO-y1_289cbEVEIQ=s120,SOL,43,974,2222,-0.7032440351611554,275.7667467283231825365669107,-1,0.000,0,1205.037863074982802008815519
Dope Cats,https://lh3.googleusercontent.com/FnsRY_1Bs5Vz4OkRaaV5WuLZqKX8ZN2VMehyxB__-KTJIBiMj-OeN78yS1f55DtMGEkAbgw7NP50HN8trgwd7Fr26zqXCt16ar0D1w=s120,SOL,0.9,1296,3333,-0.8872772557431176,26.33015575005397600591149438,0.2306605933408284,5.228467769366871891373094506,0,1194.033774747849987694072611
DeGods,https://lh3.googleusercontent.com/OYvE-daPlxRCqry6lJY2SaXKodbD1-2jTucE7l2iEb50no017kXDuu9uYVt44To6930sL3xtSrm3XpSedtpXbcIydIv-xK0WLIxx=s120,SOL,,4651,10000,-1,0.000,0,0.000,0,1044.118404378876074574791707
SolGoros,https://lh3.googleusercontent.com/U3oZziRH5O-dIcaBWi_rkY_-VpTvICeK6U9G5f169OXbWKE7-K-wdA0sFCOR6Ed-MuhO7DvRT46bKAyyZYGvwe2UjcRtrXHEkS1xHg=s120,SOL,9,177,1396,0,996.5253324580389312469144376,20.225037737551496,871.0996110025163291375012313,0,996.5253324580389312469144376
Boryoku Dragonz,https://lh3.googleusercontent.com/XJXuOOrWV9wmh1vae5cT5fdJXY3txGnBVNmerXyJXlJKRKbr3TP49JMbHtOqL3j8WX0rO2XlVlFn4hPF3PN8iHHyIPil8EHtUikOEw=s120,SOL,215,523,1111,-1,0.000,0,0.000,0,754.0939240798376982423881228
Degenerate Ape Kindergarten,https://lh3.googleusercontent.com/fRBPo4uzKSrtRj8icFch6jf2PnnFReT06hENFV2_-ti7uIgXO-FO4pp42JDkUOlgxkVqoGUyEhFUX3O-ni3zfhL8FWhF6HbWUAU6=s120,SOL,82,1003,2500,6.739967084441069,610.3830122469402712999330802,-1,0.000,0,689.2442019119372371260676155
Drippies™,https://lh3.googleusercontent.com/KGk7lBxKlFPVDHTqPYCfqDmo4K9vL5EV7Z2ZTwVLFxOjDbikuw4x2u5Te0uz4PtchRRIXUPSLjg-qyLUAoStKpR9pftxaFw_cAEKGw=s120,SOL,2.5,2880,5555,-0.7162121994659177,118.6034375510488732739374987,-0.47991331715256974,15.38151856015709642297056079,0,683.9938842465257433317709988
Galactic Gecko Space Garage,https://lh3.googleusercontent.com/lM8t6_HQ7XKHnnRYZBxMAWHUtO_Y9KRmv5KZsA7wGDXxc1UR9xIjsFWx-cxUuCB5T9KINTUStjcl54pt8bw1As07f2BEoob35oIW=s120,SOL,12.98,3351,9997,-0.7360135698050759,96.36273487976368260761293776,0,14.79620250994426658561511185,135.70737999999997,679.1820938646161557503259545
SOLgods,https://lh3.googleusercontent.com/63O9mLzjiowEQ4aErxFWPr8ByUSq-b1ng7m2tKQ8n8WDIoZQHMAVbrxnSIFtN8fga3sp89LvsAq9vj_FfCB3Ob3V9WfyuPH_M6rtWA=s120,SOL,46,2738,6661,-1,0.000,0,0.000,0,662.9479666801398280831433203
SolPunks,https://lh3.googleusercontent.com/mGCxeu00CqL0CI3AVpmghYAaXIhZ5KsVhgJIEzd6Zd5LtkwX9bi12lQMD990hTvoj0P9866Z_kDqCmpoY7MlXVBAPKuygoSK04IhRA=s120,SOL,5.1,3644,9966,0.6818396672338821,352.9064949667740487895878197,0.5019102196752624,31.19335956466946557987069914,0,660.0594231062602136146271711
Moondusa,https://lh3.googleusercontent.com/oFWggNPfu-PvGeTU0s8E-73RjjfcT1jhKczSri0F85Q8AvlPeuv1oqNN82ByehCQ0pz_UmImlMjQin2fladkiFB1g7PW9KR0wGlL64U=s120,SOL,1.1,1137,4444,-0.9010645165419763,16.00284618520609354073930292,2.4375,5.423022428751296190451007154,0,614.4540674235073123941755624
Stoned Ape Crew,https://lh3.googleusercontent.com/XvTMloYdyEv8jP17LB2_Ik_8ojbn8Of0fEr6j2fUjvqD3EtXVjqZ5szAoHmeYOQqccLaifqt4hcmcDS1S9gu7hMmw6Ad5asMUd1f=s120,SOL,104.2,4040,4198,-1,0.000,0,0.000,0,525.3082871631017028381507576
Metawana: Genesis,https://lh3.googleusercontent.com/tJNZq1Siz0mI2wLWvvO29l3YdDlIQ1E4Ap5iLdq6dotoL65iZW1dS5Cur2Jy4N5C7FYy7aZWxB8va0RZpJ684f_5gev9v8O5ZvYXXw=s120,SOL,0.57,1508,4420,0.46967711745437485,62.86643883198585280367382057,2.085470085470085,3.613013725976200249256777195,-0.6657776373917724,2053.483419286928396879088960
